venue,matches_played,avg_total_runs
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,400.0
"Arun Jaitley Stadium, Delhi",16,380.69
"Eden Gardens, Kolkata",16,380.31
"M Chinnaswamy Stadium, Bengaluru",14,380.14
"Himachal Pradesh Cricket Association Stadium, Dharamsala",4,378.75
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,371.2
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",13,364.85
Brabourne Stadium,10,348.1
Punjab Cricket Association IS Bindra Stadium,10,347.6
"Wankhede Stadium, Mumbai",45,346.38
